title,score,brief
最爱,8.0,对抗命运绝处逢生
杨贵妃,8.7,大唐盛世一代宠妃
两个人的房间,7.3,朱时茂陷中年危机
青苹果,6.6,海清青涩电影作品
漂亮的女邻居,7.5,三男子倾心一村姑
台北女人,7.5,单身妈妈染上毒品
少女,6.8,高傲少女青涩初恋
我和姐姐,6.9,青春故事纯真年代
两人一世界,5.9,青梅竹马日久生情
老阿姨,8.1,李雪健饰开国将军
红嫂,7.2,悉心照顾重伤战士
四戒,7.2,巨款引发追逐大战
第一次,5.9,baby青春纯爱大片
我的“狐朋狗,7.0,江湖情义欢乐囧途
红楼梦,8.8,陶慧敏饰演林妹妹
红牡丹,7.4,红角走南闯北寻父
人生,8.3,痴心女子遇负心汉
狐仙,6.7,胡慧中情陷人妖恋
疯狂72小时,6.6,闫妮性感熟女诱惑
巧哥儿,5.9,姑娘爱上善良青年
那年那月,5.9,少女揭开身世之谜
匆匆那年,7.5,于晏倪妮为爱撕扯
巧巧,5.9,可爱小狗挽回恋情
上门女婿,5.9,孩子姓氏引发矛盾
倩女幽魂,5.9,古天乐苦恋刘亦菲
意乱情迷,7.6,都市男女两性宝典
从你的全世界,7.4,男神女神雾都爱情
我的少女时代,7.1,讲述张海迪的故事
谁的青春不迷,8.5,真挚感情纯色爱恋
一念天堂,7.6,沈马组合浑身戏胆
鬼妹,7.4,书生夜遇美丽女鬼
随风而去,8.3,富家子半世纪虐恋
浮城谜事,8.0,秦昊情陷虐心爱恋
痴男怨女和牛,7.4,改革开放农村变化
爱,6.0,苦命情侣无力之爱
黄金时代,8.5,香港金像奖大赢家
义侠勇闯上海,7.0,甄子丹大闹上海滩
警花燕子,7.0,青涩汤唯处女之作
夺爱,7.5,倔藏獒怒咬新媳妇
爱情天梯,8.0,真实爱情故事改编
山河故人,8.4,贾樟柯戛纳提名作
巴黎宝贝,6.9,邓超异国谈情卖腐
新娘大作战,8.0,杨颖倪妮高能开撕
狩猎者,7.5,少年复仇横扫日寇
夜色撩人,7.0,王千源陷三角关系
女儿,6.0,独身老父爱女心切
爱情银行,7.3,夏雨蓄须恋上冤家
鸳鸯楼,8.3,新婚夫妇幸福往事
请叫我英雄,7.5,吴镇宇变正义使者
新邻居2,5.9,善良老公照顾前任
小锅盖娶亲,6.8,女大学生嫁农民工
太平轮·彼岸,8.0,章子怡乱世寻真情
成人仪式,6.0,牛振华饰双面爸爸
被爱情遗忘的,8.0,不会被允许的爱情
白狐,7.0,钟欣潼虐恋张智霖
花开花落,5.9,贫农青年难找媳妇
清清溪流,5.9,考上大学始乱终弃
小花,8.0,刘晓庆早期成名作
光的棍,6.7,王李丹妮惊艳亮相
无问西东,8.1,坎坷人生青春史诗
一句顶一万句,7.2,范伟刘蓓中年结婚
赤橙黄绿青蓝,7.4,改革开放青年风貌
都市奇缘,6.0,农民进城喜遇奇缘
唐伯虎,9.0,唐伯虎的传奇故事
在路上,5.8,青春美女独自骑行
月光,6.0,失落男女催泪情缘
绣春刀,8.1,帅气张震侠骨柔情
101次求婚,8.8,黄渤喜牵志玲姐姐
心锁,7.3,语音钥匙封心锁爱
金太狼的幸福,6.3,美女围攻妇科男神
百万爱情宝贝,7.7,真人秀觅美丽爱情
我的青春期,7.1,野性校园无码青春
十面埋伏（电视,6.0,祖峰一人分饰两角
春娥,7.5,农村寡妇恋上青年
聊斋系列之桃,7.5,聊斋志异经典故事
新步步惊心,7.5,陈意涵穿越三角恋
功夫咏春,6.9,缓兵之计比武招亲
午夜心跳,7.0,医院上演惊魂一刻
山道弯弯,8.5,南方乡村风土人情
时光恋人,7.4,李小璐倒追立威廉
致青春,6.0,屌丝男追求学霸女
小日子,5.9,不打不识欢乐爱情
秘密,6.3,歌手孙浩牵手陶虹
影子爱人,8.0,张柏芝情牵权相佑
新妈妈再爱我,6.6,陆毅初恋情人曝光
钱学森,7.8,陈坤携子归国受阻
白发魔女传之,6.8,武侠经典魔女传奇
别爱陌生人,6.6,陌生男子惊悚来袭
爱情在线,6.7,网络战争爱情生长 
孽缘,5.9,昔日恋人监狱相逢
白蛇传,5.9,陈燕燕演绎白娘子
西凉外的风车,8.4,两女一男乱世纠缠
太平轮（上）,5.9,梦幻阵容史诗巨片
十日天堂,6.7,秦岚蓝正龙云南行
狐缘,7.3,俊俏书生路遇女妖
分手大师,5.9,邓超无节操奇葩舞
金沟情仇记,5.9,俏寡妇遭变态蹂躏
香草,6.0,孤寂寡妇扛起家担
万箭穿心（武汉,8.7,颜丙燕封影后之作
恶棍天使,7.9,邓超孙俪搞怪夫妻
《唐伯虎点秋,7.5,黄晓明走秀送飞吻
流泪的红蜡烛,7.7,包办婚姻害苦倪萍
我的幸福,6.5,蒙大将军变身暖男
喊山,8.4,老实人爱上哑寡妇
南京的那个夏,7.6,
非常女秘书,7.0,中国版“女魔头”
房不剩防,6.2,李念赵毅联手炒房
等,5.9,下乡知青日久生情
爱之初体验,6.6,屌丝男狂交桃花运
同城五月,6.7,同城男女大灾大爱
玉碎宫倾,7.3,葛存壮经典老电影
床下有人,6.9,美女床下阴森诡秘
女人不坏,8.1,张雨绮诱惑钢管舞
万箭穿心,8.9,崔健力荐文艺强片
守卫者,5.9,护林员勇斗大黑熊
北京遇上西雅,7.8,吴秀波变身落魄叔
夜蒲之奶爸总,5.9,霸道总裁温柔老爸
爱情命运号,7.0,刘德华牵手石田光
重来,7.2,演绎现代爱情寓言
冈拉梅朵,7.2,雪域高原传奇爱情
爱神,8.6,钟汉良扮萌演男神
大白兔,5.9,晚熟女生错过爱情
女警官,5.9,英勇女警奋勇抓敌
卖油郎,7.2,揭露明代妓院秘史
夏天19岁的肖,7.0,黄子韬19岁的夏天
女皇陵下的风,7.3,负心汉强奸风流女
拳击手,7.9,中国兴起拳击运动
上海日记,7.3,直击上海移民生活
黑风暴,7.6,探寻沉睡大漠黄沙
夜惊魂,6.4,未知惊悚接踵而至
一夜惊喜,6.7,范爷爆笑性感卖萌
来了,5.9,舞出精彩舞出人生
夜班车,5.9,夜班车安慰失恋女
初到东京,7.3,躁动青春围棋梦想
宫锁沉香,7.9,陈晓变皇帝狂撩周冬雨
女人四十正芬,5.9,
唇唇欲动,6.0,华少变身娘炮主编
顾大嫂与孙新,6.9,英雄夫妻智斗高俅
萧红,7.3,小宋佳变身文艺女
澳门情缘,5.9,
大秧歌,7.3,文武秧歌名分之争
信箱,6.1,熊乃瑾艳绝恐怖夜
但愿人长久,8.9,
幸福额度,7.9,廖凡恋御姐林志玲
好人合算,8.3,劳改人员回馈社会
百年情书,7.6,烈士挥泪写与妻书
爱情进化论,6.8,郭碧婷饰萌花女神
后厨,7.2,潘金莲化妩媚厨娘
心灵深处,6.3,刘晓庆美丽又大方
爱情呼叫转移,8.1,美女如云夹击徐峥
出路下部,6.0,大刀阔斧改革创新
乡恋,6.2,自由恋爱开花结果
一个女人的命,8.2,农村妇女丈夫家暴
李献计历险记,8.4,房祖名穿越寻找爱
刺陵,7.5,周杰伦携手林志玲
红月亮,8.0,纯情少女惨遭强暴
姑娘的心愿,5.9,患癌医生捐献角膜
边境风云,8.2,孙红雷恋上王珞丹
桃色旋风,5.9,毒品大案跨境侦破
露水红颜,7.7,刘亦菲痴情做模特
惊情,8.3,昔日情人反目成仇
光棍之家,6.0,爆笑姻缘欢脱喜乐
蜜月到永远,6.1,福利分房矛盾频出
硬汉2奉陪到,7.3,刘烨再饰憨傻英雄
桃花扇,7.6,青楼名妓出家为尼
相爱,8.6,执子之手只为真爱
戒指,5.9,婚戒丢失挽回激情
搞定岳父大人,7.3,徐峥拜见岳父大人
白秋练,7.2,聊斋经典故事改编
美好时光,6.5,领悟生活自由舞动
黑山红杏,5.9,红杏被卖遇人不淑
爱爱囧事,7.8,萌派治愈青春喜剧
恋爱大赢家,7.2,林志颖牵手刘亦菲
都市夜归人,6.0,爱情专家遭遇小三
热巴,7.4,草原青年迷失自我
新邻居,5.9,前女友变成新邻居
潜网,7.5,爱情和梦想的故事
女朋友男朋友,5.8,危机变成生日惊喜
天机·富春山,7.0,林志玲演百变虐恋
遗落荒原的爱,8.0,宋佳陷入情感纠葛
缘份的天空,6.1,姜武何冰正面交锋
功夫老爸,7.0,续写《少林足球》
街上流行红裙,7.8,改革开放思想转变
我是路人甲,9.0,真实龙套草根逆袭
柠檬,7.4,韩国主播内地姻缘
不敢说爱你,7.5,林申演绎温馨爱情
最美的时候遇,7.0,清纯女倒追小鲜肉
远山情,5.9,陈红早年盛世美颜
从今以后,6.4,
青春派,7.9,传媒大奖最佳影片
罪恶,6.4,变态杀人惊现女尸
决不妥协,8.7,何冰、王琳饰情侣
越来越好之村,6.6,超强卡司牛逼贺岁
珍珠衫,7.2,寂寞娇妻红杏出墙
赢家,7.4,邵兵宁静残缺爱情
爱情与遗产,8.5,高干子弟爱情故事
辣嫂,7.5,
梨花雨,5.9,女村长爱上养蜂人
父子婚事,7.3,葛优秃头恋爱受挫
花姊妹风流债,5.9,青涩瞿颖泼辣鲜亮
马文的战争,7.2,实力戏骨大飚演技
暗香,6.4,修脚工的爱情物语
女模特的风波,6.1,人体模特引发风波
爱我别错过,6.5,中国版的野蛮女友
山村趣事,5.9,弘扬新农村新气象
多情的小和尚,8.0,童年记忆欢闹喜剧
战国,7.5,孙红雷赛马出风头
女儿经,8.6,妙女郎巧治无情夫
桃花扇,6.7,李香君血溅定情物
除夕前一分钟,5.9,除夕之夜劝和情侣
出路上部,6.0,历经挫折终见曙光
超时空救兵,6.6,景甜戏中丑绝人寰
恋曲2005,6.7,服务员卷入犯罪案
状元媒,8.1,京剧电影国粹传承
桑吉卓玛,5.9,草原绝恋感天动地
楼上楼下,6.7,台湾名模变成寡妇
